"Bill_id","Bill_description","Patron_id","Patron_name","Last_house_committee_id","Last_house_action","Last_house_action_date","Last_senate_committee_id","Last_senate_action","Last_senate_action_date","Last_conference_action","Last_conference_action_date","Last_governor_action","Last_governor_action_date","Emergency","Passed_house","Passed_senate","Passed","Failed","Carried_over","Approved","Vetoed","Full_text_doc1","Full_text_date1","Full_text_doc2","Full_text_date2","Full_text_doc3","Full_text_date3","Full_text_doc4","Full_text_date4","Full_text_doc5","Full_text_date5","Full_text_doc6","Full_text_date6","Last_house_actid","Last_senate_actid","Last_conference_actid","Last_governor_actid","Chapter_id","Introduction_date","Last_actid"
"HB1","Interstate 66; tolls on existing components east of mile marker 67 prohibited.","H223","LeMunyon","H02","Left in Appropriations","02/18/16","","","","","","","","N","N","N","N","Y","N","N","N","HB1","11/16/15","HB1H1","02/09/16","","","","","","","","","H0294","","","","","11/16/15","H0294"
"HB2","Clean Power Plan; state implementation plan, General Assembly approval.","H242","O'Quinn","H14","Enrolled Bill communicated to Governor on 3/9/2016","03/09/16","S05","Signed by President","03/09/16","","","Vetoed by Governor","03/25/16","N","Y","Y","Y","N","N","N","Y","HB2","11/16/15","HB2ER","03/07/16","","","","","","","","","H7010","S5620","","G7900","","11/16/15","G7900"
"HB3","Constitutional amendment; charter schools (submitting to qualified voters).","H139","Bell, Robert B.","H18","VOTE: PASSAGE (50-Y 48-N)","02/15/16","S08","Failed to report (defeated) in Privileges and Elections (5-Y 7-N 1-A)","02/23/16","","","","","N","Y","N","N","Y","N","N","N","HB3","11/16/15","","","","","","","","","","","H9999","S0892","","","","11/16/15","S0892"
"HB4","Constitutional amendment; right to work (submitting to qualified voters).","H211","Bell, Richard P.","H18","Enrolled Bill communicated to Governor on 2/17/16","02/17/16","S08","Signed by President","02/16/16","","","Acts of Assembly Chapter text (CHAP0012)","02/24/16","N","Y","Y","Y","N","N","Y","N","HB4","11/16/15","HB4ER","02/16/16","CHAP0012","02/24/16","","","","","","","H7010","S5620","","G9998","CHAP0012","11/16/15","G9998"
"HB5","Same-sex marriages; civil unions.","H264","Simon","H08","Left in Courts of Justice","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB5","11/16/15","","","","","","","","","","","H0894","","","","","11/16/15","H0894"
"HB6","Campaign Finance Disclosure Act; unlawful conversion of political contributions to personal use.","H264","Simon","H18","Continued to 2017 in Privileges and Elections","02/05/16","","","","","","","","N","N","N","N","N","Y","N","N","HB6","11/16/15","","","","","","","","","","","H1840","","","","","11/16/15","H1840"
"HB7","Sick leave; certain private employers to provide employees with paid benefits.","H264","Simon","H14","Left in Commerce and Labor","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB7","11/16/15","","","","","","","","","","","H1494","","","","","11/16/15","H1494"
"HB8","Virginia Virtual School; Board established.","H211","Bell, Richard P.","H02","Enrolled Bill communicated to Governor on 3/28/16","03/28/16","S05","Signed by President","03/28/16","Amended by conference committee","03/11/16","Governor's Action Deadline Midnight, Sunday, April 10, 2016","03/28/16","N","Y","Y","Y","N","N","N","N","HB8","11/16/15","HB8H1","02/12/16","HB8H2","03/11/16","HB8ER","03/25/16","","","","","H7010","S5620","C6038","G7010","","11/16/15","G7010"
"HB9","Voter registration; required information on application form.","H142","Cole","H18","Enrolled Bill communicated to Governor on 3/7/16","03/07/16","S08","Signed by President","03/05/16","","","Vetoed by Governor","03/23/16","N","Y","Y","Y","N","N","N","Y","HB9","11/16/15","HB9E","02/09/16","HB9ER","03/02/16","","","","","","","H7010","S5620","","G7900","","11/16/15","G7900"
"HB10","Motorcycles; general illumination lights.","H142","Cole","H19","Enrolled Bill communicated to Governor on 2/25/16","02/25/16","S11","Signed by President","02/25/16","","","Acts of Assembly Chapter text (CHAP0195)","03/01/16","N","Y","Y","Y","N","N","Y","N","HB10","11/16/15","HB10ER","02/24/16","CHAP0195","03/01/16","","","","","","","H7010","S5620","","G9998","CHAP0195","11/16/15","G9998"
"HB11","Gift certificates; prohibited practices by merchant issuing certificate issued in the Commonwealth.","H142","Cole","H14","Left in Commerce and Labor","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB11","11/16/15","","","","","","","","","","","H1494","","","","","11/16/15","H1494"
"HB12","Concealed handgun permits, out-of-state; photo identification.","H124","Ware","H15","Incorporated by Militia, Police and Public Safety (HB1163-Webert)","02/05/16","","","","","","","","N","N","N","N","Y","N","N","N","HB12","11/16/15","","","","","","","","","","","H1599","","","","","11/16/15","H1599"
"HB13","Primaries; reimbursement of cost to localities by proper political party committee.","H124","Ware","H18","Left in Privileges and Elections","02/16/16","","","","","","","","N","N","N","N","Y","N","N","N","HB13","11/16/15","","","","","","","","","","","H1894","","","","","11/16/15","H1894"
"HB14","Columbia, Town of; repealing charter for town.","H124","Ware","H07","Enrolled Bill communicated to Governor on 3/7/2016","03/07/16","S07","Signed by President","03/04/16","","","Acts of Assembly Chapter text (CHAP0310)","03/07/16","N","Y","Y","Y","N","N","Y","N","HB14","11/16/15","HB14ER","03/01/16","CHAP0310","03/07/16","","","","","","","H7010","S5620","","G9998","CHAP0310","11/16/15","G9998"
