"Bill_id","History_date","History_description","History_refid"
"HB1","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100913D",""
"HB1","11/16/15","H Referred to Committee on Transportation",""
"HB1","01/20/16","H Impact statement from DPB (HB1)",""
"HB1","01/21/16","H Assigned Transportation sub: Subcommittee #3",""
"HB1","02/04/16","H Subcommittee recommends reporting with amendment(s) (6-Y 2-N)","H1903V0058"
"HB1","02/08/16","H Impact statement from DPB (HB1H1)",""
"HB1","02/09/16","H Reported from Transportation with substitute (15-Y 7-N)","H19V0108"
"HB1","02/09/16","H Committee substitute printed 16105066D-H1",""
"HB1","02/09/16","H Referred to Committee on Appropriations",""
"HB1","02/09/16","H Assigned App. sub: Transportation",""
"HB1","02/10/16","H Subcommittee recommends laying on the table","H0210V0005"
"HB1","02/18/16","H Left in Appropriations","H02V0119"
"HB2","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100592D",""
"HB2","11/16/15","H Referred to Committee on Commerce and Labor",""
"HB2","01/19/16","H Reported from Commerce and Labor (14-Y 6-N)","H14V0014"
"HB2","01/21/16","H Read first time",""
"HB2","01/25/16","H Impact statement from DPB (HB2)",""
"HB2","01/25/16","H Passed by for the day",""
"HB2","01/26/16","H Read second time",""
"HB2","01/26/16","H Pending question ordered",""
"HB2","01/26/16","H Engrossed by House",""
"HB2","01/27/16","H Read third time and passed House (64-Y 34-N 1-A)",""
"HB2","01/27/16","H VOTE: PASSAGE (64-Y 34-N 1-A)","HV0100"
"HB2","01/28/16","S Constitutional reading dispensed",""
"HB2","01/28/16","S Referred to Committee on Agriculture, Conservation and Natural Resources",""
"HB2","02/18/16","S Reported from Agriculture, Conservation and Natural Resources (8-Y 7-N)","S01V0051"
"HB2","02/18/16","S Rereferred to Finance",""
"HB2","03/01/16","S Reported from Finance (10-Y 5-N)","S05V0212"
"HB2","03/02/16","S Constitutional reading dispensed (40-Y 0-N)","SV0784"
"HB2","03/03/16","S Read third time",""
"HB2","03/03/16","S Passed Senate (21-Y 19-N)","SV0832"
"HB2","03/07/16","H Enrolled",""
"HB2","03/07/16","H Bill text as passed House and Senate (HB2ER)",""
"HB2","03/07/16","H Impact statement from DPB (HB2ER)",""
"HB2","03/07/16","H Signed by Speaker",""
"HB2","03/09/16","S Signed by President",""
"HB2","03/09/16","H Enrolled Bill communicated to Governor on 3/9/2016",""
"HB2","03/09/16","G Governor's Action Deadline Midnight, Sunday, April 10, 2016",""
"HB2","03/25/16","G Vetoed by Governor",""
"HB3","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100596D",""
"HB3","11/16/15","H Referred to Committee on Privileges and Elections",""
"HB3","01/15/16","H Impact statement from DPB (HB3)",""
"HB3","01/29/16","H Reported from Privileges and Elections (10-Y 9-N)","H18V0002"
"HB3","02/01/16","H Read first time",""
"HB3","02/02/16","H Passed by until Monday, February 8, 2016",""
"HB3","02/08/16","H Passed by until Friday, February 12, 2016",""
"HB3","02/12/16","H Read second time and engrossed",""
"HB3","02/15/16","H Read third time and passed House (50-Y 48-N)",""
"HB3","02/15/16","H VOTE: PASSAGE (50-Y 48-N)","HV0512"
"HB3","02/16/16","S Constitutional reading dispensed",""
"HB3","02/16/16","S Referred to Committee on Privileges and Elections",""
"HB3","02/23/16","S Failed to report (defeated) in Privileges and Elections (5-Y 7-N 1-A)","S08V0081"
"HB4","11/16/15","H Prefiled and ordered printed; offered 01/13/16 16100597D",""
"HB4","11/16/15","H Referred to Committee on Privileges and Elections",""
"HB4","01/14/16","H Assigned P & E sub:",""
"HB4","01/15/16","H Impact statement from DPB (HB4)",""
"HB4","01/18/16","H Subcommittee recommends reporting (5-Y 2-N)","H1803V0001"
"HB4","01/29/16","H Reported from Privileges and Elections (14-Y 7-N)","H18V0012"
"HB4","02/01/16","H Read first time",""
"HB4","02/02/16","H Read second time and engrossed",""
"HB4","02/03/16","H Read third time and passed House (63-Y 34-N)",""
"HB4","02/03/16","H VOTE: PASSAGE (63-Y 34-N)","HV0250"
