file,date,sponsor,mediatype,collection,item,title,creator,subject,language
/vol/www/richmondsunlight.com/html/video/senate/floor/20080228.mp4,2008-02-28,,movies,virginiageneralassembly,senate20080228,"February 28, 2008 Virginia Senate Floor Session","Virginia Senate",legislature;virginia;government;politics,eng
/vol/www/richmondsunlight.com/html/video/house/floor/20160302.mp4,2016-03-02,,movies,virginiageneralassembly,house20160302,"March 02, 2016 Virginia House of Delegates Floor Session","Virginia House Of Delegates",legislature;virginia;government;politics,eng
/vol/www/richmondsunlight.com/html/video/house/floor/20160304.mp4,2016-03-04,,movies,virginiageneralassembly,house20160304,"March 04, 2016 Virginia House of Delegates Floor Session","Virginia House Of Delegates",legislature;virginia;government;politics,eng
/vol/www/richmondsunlight.com/html/video/house/floor/20160307.mp4,2016-03-07,,movies,virginiageneralassembly,house20160307,"March 07, 2016 Virginia House of Delegates Floor Session","Virginia House Of Delegates",legislature;virginia;government;politics,eng
/vol/www/richmondsunlight.com/html/video/senate/floor/20090226.mp4,2009-02-26,,movies,virginiageneralassembly,senate20090226,"February 26, 2009 Virginia Senate Floor Session","Virginia Senate",legislature;virginia;government;politics,eng
/vol/www/richmondsunlight.com/html/video/senate/floor/20090225.mp4,2009-02-25,,movies,virginiageneralassembly,senate20090225,"February 25, 2009 Virginia Senate Floor Session","Virginia Senate",legislature;virginia;government;politics,eng
/vol/www/richmondsunlight.com/html/video/house/floor/20160308.mp4,2016-03-08,,movies,virginiageneralassembly,house20160308,"March 08, 2016 Virginia House of Delegates Floor Session","Virginia House Of Delegates",legislature;virginia;government;politics,eng
/vol/www/richmondsunlight.com/html/video/house/floor/20160309.mp4,2016-03-09,,movies,virginiageneralassembly,house20160309,"March 09, 2016 Virginia House of Delegates Floor Session","Virginia House Of Delegates",legislature;virginia;government;politics,eng
/vol/www/richmondsunlight.com/html/video/senate/floor/20160307.mp4,2016-03-07,,movies,virginiageneralassembly,senate20160307,"March 07, 2016 Virginia Senate Floor Session","Virginia Senate",legislature;virginia;government;politics,eng
/vol/www/richmondsunlight.com/html/video/senate/floor/20160308.mp4,2016-03-08,,movies,virginiageneralassembly,senate20160308,"March 08, 2016 Virginia Senate Floor Session","Virginia Senate",legislature;virginia;government;politics,eng
/vol/www/richmondsunlight.com/html/video/senate/floor/20160309.mp4,2016-03-09,,movies,virginiageneralassembly,senate20160309,"March 09, 2016 Virginia Senate Floor Session","Virginia Senate",legislature;virginia;government;politics,eng
/vol/www/richmondsunlight.com/html/video/senate/floor/20160311.mp4,2016-03-11,,movies,virginiageneralassembly,senate20160311,"March 11, 2016 Virginia Senate Floor Session","Virginia Senate",legislature;virginia;government;politics,eng
/vol/www/richmondsunlight.com/html/video/senate/floor/20160310.mp4,2016-03-10,,movies,virginiageneralassembly,senate20160310,"March 10, 2016 Virginia Senate Floor Session","Virginia Senate",legislature;virginia;government;politics,eng
/vol/www/richmondsunlight.com/html/video/house/floor/20160310.mp4,2016-03-10,,movies,virginiageneralassembly,house20160310,"March 10, 2016 Virginia House of Delegates Floor Session","Virginia House Of Delegates",legislature;virginia;government;politics,eng
/vol/www/richmondsunlight.com/html/video/house/floor/20160311.mp4,2016-03-11,,movies,virginiageneralassembly,house20160311,"March 11, 2016 Virginia House of Delegates Floor Session","Virginia House Of Delegates",legislature;virginia;government;politics,eng
